ID_Venda;Data;Produto;Categoria ;Quantidade;Preco_Unitario;Desconto;Cidade;Estado;Forma_Pagamento;Vendedor;Faturamento
62;03/03/2025;Notebook;Informática;6;3500;0%;Maceió;AL;Cartão de débito;Fernanda;R$ 21.000,00
63;04/03/2025;Smartphone;Celulares;7;1800;3%;Caruaru;PE;Cartão de débito;Fernanda;R$ 12.222,00
64;05/03/2025;Teclado;Periféricos;9;150;1%;Caruaru;PE;Boleto;Ana;R$ 1.336,50
65;06/03/2025;Teclado;Periféricos;9;150;15%;Natal;RN;Boleto;Ana;R$ 1.147,50
66;07/03/2025;Teclado;Periféricos;1;150;3%;Recife;PE;Cartão de débito;Carla;R$ 145,50
67;08/03/2025;Teclado;Periféricos;10;150;15%;Feira de Santana;BA;Cartão de crédito;Carla;R$ 1.275,00
68;09/03/2025;Teclado;Periféricos;4;150;0%;Arapiraca;AL;Cartão de débito;Diego;R$ 600,00
69;10/03/2025;Teclado;Periféricos;2;150;13%;Maceió;AL;Pix;Carla;R$ 261,00
70;11/03/2025;Teclado;Periféricos;4;150;3%;Maceió;AL;Cartão de crédito;Carla;R$ 582,00
71;12/03/2025;Notebook;Informática;9;3500;7%;Juazeiro do Norte;CE;Cartão de débito;Carla;R$ 29.295,00
72;13/03/2025;Mouse;Periféricos;6;80;12%;Fortaleza;CE;Boleto;Bruno;R$ 422,40
73;14/03/2025;Monitor;Informática;3;1200;1%;Juazeiro do Norte;CE;Cartão de crédito;Fernanda;R$ 3.564,00
74;15/03/2025;Teclado;Periféricos;1;150;1%;Arapiraca;AL;Cartão de débito;Diego;R$ 148,50
75;16/03/2025;Teclado;Periféricos;1;150;10%;Salvador;BA;Pix;Ana;R$ 135,00
76;17/03/2025;Headset;Periféricos;1;250;4%;Arapiraca;AL;Cartão de débito;Bruno;R$ 240,00
77;18/03/2025;Smartphone;Celulares;8;1800;1%;Mossoró;RN;Cartão de crédito;Ana;R$ 14.256,00
78;19/03/2025;Smartphone;Celulares;6;1800;10%;João Pessoa;PB;Boleto;Bruno;R$ 9.720,00
79;20/03/2025;Smartphone;Celulares;3;1800;10%;Campina Grande;PB;Pix;Bruno;R$ 4.860,00
80;21/03/2025;Notebook;Informática;9;3500;14%;Arapiraca;AL;Pix;Ana;R$ 27.090,00
81;22/03/2025;Mouse;Periféricos;9;80;4%;Arapiraca;AL;Cartão de débito;Ana;R$ 691,20
82;23/03/2025;Monitor;Informática;3;1200;4%;Recife;PE;Pix;Ana;R$ 3.456,00
83;24/03/2025;Monitor;Informática;6;1200;12%;Fortaleza;CE;Cartão de débito;Carla;R$ 6.336,00
84;25/03/2025;Headset;Periféricos;9;250;2%;Arapiraca;AL;Boleto;Bruno;R$ 2.205,00
85;26/03/2025;Monitor;Informática;7;1200;14%;Juazeiro do Norte;CE;Boleto;Carla;R$ 7.224,00
86;27/03/2025;Notebook;Informática;1;3500;1%;João Pessoa;PB;Cartão de crédito;Ana;R$ 3.465,00
87;28/03/2025;Smartphone;Celulares;6;1800;0%;Arapiraca;AL;Boleto;Bruno;R$ 10.800,00
88;29/03/2025;Mouse;Periféricos;8;80;11%;Fortaleza;CE;Cartão de crédito;Ana;R$ 569,60
89;30/03/2025;Smartphone;Celulares;3;1800;9%;Natal;RN;Cartão de crédito;Fernanda;R$ 4.914,00
90;31/03/2025;Headset;Periféricos;6;250;15%;Salvador;BA;Cartão de crédito;Diego;R$ 1.275,00
91;01/04/2025;Mouse;Periféricos;2;80;2%;Feira de Santana;BA;Boleto;Fernanda;R$ 156,80
92;02/04/2025;Headset;Periféricos;10;250;7%;Maceió;AL;Pix;Ana;R$ 2.325,00
93;03/04/2025;Smartphone;Celulares;2;1800;0%;Recife;PE;Cartão de débito;Diego;R$ 3.600,00
94;04/04/2025;Smartphone;Celulares;5;1800;7%;Mossoró;RN;Cartão de crédito;Diego;R$ 8.370,00
95;05/04/2025;Teclado;Periféricos;7;150;11%;Arapiraca;AL;Cartão de débito;Fernanda;R$ 934,50
96;06/04/2025;Teclado;Periféricos;1;150;13%;Maceió;AL;Cartão de crédito;Carla;R$ 130,50
97;07/04/2025;Notebook;Informática;10;3500;13%;Mossoró;RN;Boleto;Diego;R$ 30.450,00
98;08/04/2025;Headset;Periféricos;2;250;0%;Natal;RN;Cartão de crédito;Ana;R$ 500,00
99;09/04/2025;Mouse;Periféricos;2;80;0%;Mossoró;RN;Cartão de crédito;Diego;R$ 160,00
100;10/04/2025;Headset;Periféricos;4;250;13%;Natal;RN;Pix;Bruno;R$ 870,00
